activateable,createable,custom,customSetting,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,False,False,False,False,False,False,False,False,0Kr,Survey Question Response,Survey Question Responses,True,False,False,SurveyQuestionResponse,True,True,True,False,True,False,False,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/SurveyQuestionResponse/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/SurveyQuestionResponse/{ID}'), ('approvalLayouts', '/services/data/v42.0/sobjects/SurveyQuestionResponse/describe/approvalLayouts'), ('describe', '/services/data/v42.0/sobjects/SurveyQuestionResponse/describe'), ('layouts', '/services/data/v42.0/sobjects/SurveyQuestionResponse/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/SurveyQuestionResponse')])"
False,False,False,False,False,False,False,False,False,0My,Survey Response,Survey Responses,True,False,True,SurveyResponse,True,True,True,False,True,False,False,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/SurveyResponse/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/SurveyResponse/{ID}'), ('approvalLayouts', '/services/data/v42.0/sobjects/SurveyResponse/describe/approvalLayouts'), ('describe', '/services/data/v42.0/sobjects/SurveyResponse/describe'), ('layouts', '/services/data/v42.0/sobjects/SurveyResponse/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/SurveyResponse')])"
False,True,False,False,True,False,False,False,False,,Survey Share,Survey Share,False,False,False,SurveyShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/SurveyShare/{ID}'), ('describe', '/services/data/v42.0/sobjects/SurveyShare/describe'), ('sobject', '/services/data/v42.0/sobjects/SurveyShare')])"
False,False,False,False,False,False,False,False,False,0Ks,Survey Version,Survey Versions,True,False,True,SurveyVersion,True,True,True,True,True,False,False,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/SurveyVersion/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/SurveyVersion/{ID}'), ('approvalLayouts', '/services/data/v42.0/sobjects/SurveyVersion/describe/approvalLayouts'), ('describe', '/services/data/v42.0/sobjects/SurveyVersion/describe'), ('layouts', '/services/data/v42.0/sobjects/SurveyVersion/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/SurveyVersion')])"
False,False,False,False,False,False,False,False,False,,Change Event: Survey,Change Event: Survey,False,False,False,Survey__ChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/Survey__ChangeEvent/{ID}'), ('eventSchema', '/services/data/v42.0/sobjects/Survey__ChangeEvent/eventSchema'), ('describe', '/services/data/v42.0/sobjects/Survey__ChangeEvent/describe'), ('sobject', '/services/data/v42.0/sobjects/Survey__ChangeEvent')])"
False,False,False,False,False,False,False,False,False,,History: Survey,History: Survey,False,False,False,Survey__History,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/Survey__History/{ID}'), ('describe', '/services/data/v42.0/sobjects/Survey__History/describe'), ('sobject', '/services/data/v42.0/sobjects/Survey__History')])"
False,True,False,False,True,False,False,False,False,,Share: Survey,Share: Survey,False,False,False,Survey__Share,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/Survey__Share/{ID}'), ('describe', '/services/data/v42.0/sobjects/Survey__Share/describe'), ('sobject', '/services/data/v42.0/sobjects/Survey__Share')])"
False,False,True,False,False,False,False,False,False,a0x,Survey,Surveys,True,False,True,Survey__c,True,True,True,True,True,False,False,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/Survey__c/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/Survey__c/{ID}'), ('approvalLayouts', '/services/data/v42.0/sobjects/Survey__c/describe/approvalLayouts'), ('describe', '/services/data/v42.0/sobjects/Survey__c/describe'), ('quickActions', '/services/data/v42.0/sobjects/Survey__c/quickActions'), ('layouts', '/services/data/v42.0/sobjects/Survey__c/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/Survey__c')])"
False,True,False,False,True,False,False,False,False,00T,Task,Tasks,True,False,True,Task,True,True,True,True,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/Task/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/Task/{ID}'), ('describe', '/services/data/v42.0/sobjects/Task/describe'), ('quickActions', '/services/data/v42.0/sobjects/Task/quickActions'), ('layouts', '/services/data/v42.0/sobjects/Task/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/Task')])"
False,False,False,False,False,False,False,False,False,,Task Change Event,Task Change Event,False,False,False,TaskChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/TaskChangeEvent/{ID}'), ('eventSchema', '/services/data/v42.0/sobjects/TaskChangeEvent/eventSchema'), ('describe', '/services/data/v42.0/sobjects/TaskChangeEvent/describe'), ('sobject', '/services/data/v42.0/sobjects/TaskChangeEvent')])"
