         20475167 function calls (20447362 primitive calls) in 12.383 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 __init__.py:3132(<genexpr>)
        1    0.000    0.000    0.023    0.023 __init__.py:3138(_initialize_master_working_set)
       59    0.000    0.000    0.001    0.000 __init__.py:3165(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:330(ResolutionError)
        1    0.000    0.000    0.000    0.000 __init__.py:337(VersionConflict)
       13    0.000    0.000    0.043    0.003 __init__.py:35(load)
        6    0.000    0.000    0.020    0.003 __init__.py:35(load_module)
       18    0.000    0.000    0.007    0.000 __init__.py:359(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:369(ContextualVersionConflict)
        1    0.000    0.000    0.000    0.000 __init__.py:378(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:382(DistributionNotFound)
        2    0.000    0.000    0.000    0.000 __init__.py:384(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:39(InstrumentsWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:393(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:4(VendorImporter)
        1    0.000    0.000    0.000    0.000 __init__.py:40(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:402(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:409(UnknownExtra)
      102    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:423(register_loader_type)
      102    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:426(Formatter)
        1    0.000    0.000    0.001    0.001 __init__.py:43(Pipette)
        3    0.000    0.000    0.000    0.000 __init__.py:433(get_provider)
        1    0.000    0.000    0.000    0.000 __init__.py:466(get_build_platform)
        2    0.000    0.000    0.000    0.000 __init__.py:470(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:583(IMetadataProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:599(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:606(IResourceProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:634(WorkingSet)
        1    0.000    0.000    0.011    0.011 __init__.py:637(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:64(install)
        1    0.000    0.000    0.000    0.000 __init__.py:641(Filter)
        1    0.000    0.000    0.011    0.011 __init__.py:650(_build_master)
        1    0.000    0.000    0.000    0.000 __init__.py:678(Filterer)
       13    0.000    0.000    0.000    0.000 __init__.py:683(__init__)
       14    0.000    0.000    0.021    0.002 __init__.py:692(add_entry)
        1    0.000    0.000    0.000    0.000 __init__.py:7(VirtualSmoothie)
   197565    0.069    0.000    0.069    0.000 __init__.py:703(filter)
        2    0.000    0.000    0.000    0.000 __init__.py:733(_removeHandlerRef)
       59    0.000    0.000    0.000    0.000 __init__.py:750(__iter__)
        4    0.000    0.000    0.000    0.000 __init__.py:750(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:760(Handler)
      116    0.000    0.000    0.001    0.000 __init__.py:767(add)
        4    0.000    0.000    0.000    0.000 __init__.py:769(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:785(set_name)
        4    0.000    0.000    0.000    0.000 __init__.py:798(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:8(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:821(setLevel)
        4    0.000    0.000    0.026    0.006 __init__.py:86(get_virtual_driver)
        3    0.000    0.000    0.000    0.000 __init__.py:868(setFormatter)
       24    0.000    0.000    0.000    0.000 __init__.py:869(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:879(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:949(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:95(PEP440Warning)
        3    0.000    0.000    0.000    0.000 __init__.py:958(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:97(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:988(subscribe)
        7    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
    65692    0.082    0.000    0.263    0.000 _collections_abc.py:657(get)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:816(clear)
        1    0.000    0.000    0.000    0.000 _compat.py:20(with_metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:27(metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:28(__new__)
        1    0.000    0.000    0.000    0.000 _compat.py:4(<module>)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:495(AddressList)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:271(Compat32)
        1    0.000    0.000    0.016    0.016 _policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
      480    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)
        1    0.000    0.000    0.000    0.000 _structures.py:39(NegativeInfinity)
        1    0.000    0.000    0.000    0.000 _structures.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _structures.py:7(Infinity)
        1    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
      113    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       31    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
    58804    0.017    0.000    0.017    0.000 _weakrefset.py:70(__contains__)
       29    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       33    0.000    0.000    0.001    0.000 abc.py:132(__new__)
       33    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        4    0.000    0.000    0.000    0.000 abc.py:151(register)
    42139    0.026    0.000    0.044    0.000 abc.py:178(__instancecheck__)
     24/9    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
       57    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 appdirs.py:365(AppDirs)
        1    0.000    0.000    0.000    0.000 appdirs.py:9(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:229(NodeVisitor)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:266(NodeTransformer)
